Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_All - DevTransferDataSet,,,2018-10-11 22:16:25,2018-10-11 22:16:28,2.226s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints - Dev,,,2018-10-11 22:16:26,2018-10-11 22:16:28,1.930s,FAILED
"Statement - Glb_Status_GetOperationCode = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.007s,PASSED
"Statement - Glb_Status_GetDropOffTime = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.001s,PASSED
"Statement - Glb_Status_GetPickupTime = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.001s,PASSED
"Statement - Glb_Status_ReserveTimeslot = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.000s,PASSED
"Statement - Glb_Status_GetTransportOption = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.000s,PASSED
"Statement - Glb_Status_MakeServiceBooking = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.000s,PASSED
"Statement - Glb_Status_SearchBooking = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.001s,PASSED
"Statement - Glb_Status_GetBookingDetail = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.001s,PASSED
"Statement - Glb_Status_ChangeBooking = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.000s,PASSED
"Statement - Glb_Status_CancelBooking = ""failed""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.000s,PASSED
"Statement - Glb_Reserve_Token = ""no""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.000s,PASSED
"Statement - Glb_BookingStatus = ""not yet""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.001s,PASSED
"Statement - Glb_Booking_ID = ""wrong""",,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.001s,PASSED
callTestCase,,,2018-10-11 22:16:26,2018-10-11 22:16:26,0.465s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-11 22:16:26,2018-10-11 22:16:28,1.146s,FAILED
Start tear down : HandleFailing,,,2018-10-11 22:16:28,2018-10-11 22:16:28,0.004s,PASSED
